time ,pyrE,AKS182,AKS183,AKS184,AKS185
112.5,0.963985714,0.528985714,0.610985714,0.049985714,0.081985714
113,0.9569,0.5249,0.6109,0.0529,0.0839
113.5,0.975214286,0.527214286,0.617214286,0.053214286,0.088214286
114,0.972414286,0.521414286,0.624414286,0.053414286,0.088414286
114.5,0.996242857,0.514242857,0.630242857,0.058242857,0.092242857
115,0.993071429,0.511071429,0.600071429,0.067071429,0.102071429
115.5,0.972085714,0.512085714,0.636085714,0.063085714,0.101085714
116,0.980842857,0.518842857,0.627842857,0.064842857,0.104842857
116.5,0.960757143,0.523757143,0.646757143,0.067757143,0.109757143
117,0.971285714,0.528285714,0.650285714,0.069285714,0.115285714
117.5,0.961842857,0.524842857,0.648842857,0.074842857,0.119842857
118,0.966971429,0.525971429,0.648971429,0.076971429,0.122971429
118.5,0.960814286,0.531814286,0.657814286,0.079814286,0.130814286
119,0.962957143,0.521957143,0.664957143,0.081957143,0.132957143
119.5,0.967571429,0.519571429,0.669571429,0.088571429,0.142571429
120,0.952257143,0.516257143,0.665257143,0.089257143,0.146257143
120.5,0.975371429,0.516371429,0.674371429,0.097371429,0.154371429
121,0.953485714,0.512485714,0.678485714,0.102485714,0.163485714
121.5,0.965585714,0.515585714,0.680585714,0.108585714,0.168585714
122,0.968042857,0.524042857,0.678042857,0.112042857,0.174042857
122.5,0.968328571,0.520328571,0.686328571,0.118328571,0.181328571
123,0.983342857,0.516342857,0.690342857,0.124342857,0.186342857
123.5,0.976242857,0.519242857,0.680242857,0.136242857,0.200242857
124,0.978828571,0.515828571,0.694828571,0.143828571,0.202828571
124.5,0.968257143,0.510257143,0.689257143,0.149257143,0.207257143
125,0.978971429,0.509971429,0.695971429,0.151971429,0.211971429
125.5,0.967885714,0.504885714,0.697885714,0.156885714,0.213885714
126,0.978385714,0.500385714,0.702385714,0.163385714,0.217385714
126.5,0.968085714,0.493085714,0.695085714,0.172085714,0.222085714
127,0.971885714,0.493885714,0.710885714,0.177885714,0.228885714
127.5,0.968014286,0.501014286,0.707014286,0.185014286,0.235014286
128,0.963471429,0.494471429,0.712471429,0.193471429,0.240471429
128.5,0.954128571,0.504128571,0.701128571,0.200128571,0.238128571
129,0.957742857,0.497742857,0.707742857,0.207742857,0.247742857
129.5,0.952628571,0.494628571,0.705628571,0.218628571,0.251628571
130,0.972428571,0.482428571,0.717428571,0.219428571,0.254428571
130.5,0.934014286,0.497014286,0.705014286,0.223014286,0.263014286
131,0.952557143,0.485557143,0.689557143,0.232557143,0.264557143
131.5,0.942742857,0.485742857,0.708742857,0.240742857,0.270742857
132,0.952371429,0.479371429,0.701371429,0.248371429,0.270371429
132.5,0.969757143,0.472757143,0.713757143,0.253757143,0.278757143
133,0.954957143,0.454957143,0.698957143,0.259957143,0.281957143
133.5,0.951985714,0.453985714,0.704985714,0.255985714,0.281985714
134,0.948542857,0.464542857,0.692542857,0.282542857,0.291542857
134.5,0.944028571,0.472028571,0.704028571,0.268028571,0.291028571
135,0.964471429,0.450471429,0.701471429,0.278471429,0.292471429
135.5,0.953357143,0.451357143,0.710357143,0.278357143,0.301357143
136,0.928071429,0.469071429,0.713071429,0.284071429,0.301071429
136.5,0.934428571,0.468428571,0.710428571,0.295428571,0.305428571
137,0.933228571,0.461228571,0.710228571,0.293228571,0.307228571
137.5,0.959985714,0.445985714,0.700985714,0.297985714,0.306985714
138,0.954028571,0.448028571,0.706028571,0.308028571,0.314028571
138.5,0.943457143,0.448457143,0.707457143,0.306457143,0.314457143
139,0.941271429,0.458271429,0.713271429,0.316271429,0.320271429
139.5,0.909757143,0.463757143,0.706757143,0.317757143,0.328757143
140,0.937485714,0.448485714,0.710485714,0.319485714,0.325485714
140.5,0.929828571,0.445828571,0.713828571,0.318828571,0.325828571
141,0.923028571,0.486028571,0.707028571,0.325028571,0.331028571
141.5,0.922042857,0.475042857,0.701042857,0.328042857,0.335042857
142,0.932828571,0.451828571,0.695828571,0.333828571,0.339828571
142.5,0.924357143,0.440357143,0.702357143,0.333357143,0.337357143
143,0.910157143,0.443157143,0.708157143,0.344157143,0.348157143
143.5,0.910671429,0.451671429,0.704671429,0.359671429,0.357671429
144,0.928414286,0.452414286,0.707414286,0.355414286,0.352414286
